TEAM_ID,TEAM_NAME,SEASON,Conference,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS
1610612749,Milwaukee Bucks,2009-10,East,7,3,4,0.42857142857142855,240.0,33.714285714285715,79.57142857142857,0.4236983842010772,6.571428571428571,21.285714285714285,0.3087248322147651,16.0,19.857142857142858,0.8057553956834532,11.142857142857142,28.0,39.142857142857146,16.285714285714285,12.428571428571429,6.285714285714286,3.2857142857142856,21.0,90.0,-3.7142857142857144
1610612760,Oklahoma City Thunder,2009-10,West,6,2,4,0.3333333333333333,240.0,30.666666666666668,78.5,0.39065817409766457,5.5,18.5,0.2972972972972973,27.0,32.333333333333336,0.8350515463917526,11.666666666666666,31.666666666666668,43.333333333333336,16.166666666666668,12.5,6.5,6.166666666666667,22.833333333333332,93.83333333333333,-1.6666666666666667
1610612753,Orlando Magic,2009-10,East,14,10,4,0.7142857142857143,241.78571428571428,32.785714285714285,70.78571428571429,0.46316851664984865,9.857142857142858,26.928571428571427,0.3660477453580902,21.142857142857142,30.142857142857142,0.7014218009478673,9.285714285714286,31.071428571428573,40.357142857142854,16.857142857142858,13.714285714285714,6.428571428571429,5.5,22.357142857142858,96.57142857142857,8.642857142857142
1610612756,Phoenix Suns,2009-10,West,16,10,6,0.625,240.0,38.0,79.625,0.4772370486656201,9.375,24.4375,0.3836317135549872,21.75,28.125,0.7733333333333333,10.6875,29.4375,40.125,20.8125,12.5625,5.875,4.125,22.375,107.125,4.625
1610612757,Portland Trail Blazers,2009-10,West,6,2,4,0.3333333333333333,240.0,33.0,76.83333333333333,0.42950108459869846,6.333333333333333,16.666666666666668,0.38,20.666666666666668,28.0,0.7380952380952381,10.833333333333334,26.5,37.333333333333336,19.5,11.0,6.0,4.333333333333333,23.166666666666668,93.0,-10.333333333333334
1610612759,San Antonio Spurs,2009-10,West,10,4,6,0.4,240.0,36.4,78.5,0.4636942675159236,4.8,14.2,0.3380281690140845,18.5,26.6,0.6954887218045113,10.1,31.0,41.1,19.2,12.7,6.8,4.3,21.0,96.1,-3.4
1610612762,Utah Jazz,2009-10,West,10,4,6,0.4,240.0,38.1,79.5,0.47924528301886793,6.5,17.4,0.3735632183908046,24.4,33.5,0.7283582089552239,10.9,28.7,39.6,23.8,13.2,5.9,4.4,27.0,107.1,-2.2
1610612737,Atlanta Hawks,2010-11,East,12,6,6,0.5,240.0,32.916666666666664,75.83333333333333,0.4340659340659341,4.5,13.916666666666666,0.32335329341317365,15.916666666666666,21.916666666666668,0.7262357414448669,9.0,28.166666666666668,37.166666666666664,18.083333333333332,12.416666666666666,6.25,5.0,20.333333333333332,86.25,-4.416666666666667
1610612738,Boston Celtics,2010-11,East,9,5,4,0.5555555555555556,242.77777777777777,35.77777777777778,76.88888888888889,0.4653179190751445,7.444444444444445,16.0,0.4652777777777778,15.666666666666666,20.11111111111111,0.7790055248618785,8.88888888888889,30.11111111111111,39.0,21.0,15.666666666666666,7.333333333333333,4.222222222222222,21.88888888888889,94.66666666666667,1.3333333333333333
1610612741,Chicago Bulls,2010-11,East,16,9,7,0.5625,241.5625,34.0,80.5625,0.42203258339798294,6.3125,19.1875,0.3289902280130293,18.1875,23.1875,0.784366576819407,13.375,30.1875,43.5625,20.125,13.625,7.3125,6.625,21.25,92.5,4.25
1610612742,Dallas Mavericks,2010-11,West,21,16,5,0.7619047619047619,241.1904761904762,34.476190476190474,74.85714285714286,0.46055979643765904,8.761904761904763,22.238095238095237,0.39400428265524623,20.523809523809526,25.38095238095238,0.8086303939962477,9.666666666666666,28.714285714285715,38.38095238095238,20.142857142857142,12.904761904761905,7.095238095238095,4.095238095238095,20.095238095238095,98.23809523809524,5.761904761904762
1610612743,Denver Nuggets,2010-11,West,5,1,4,0.2,240.0,32.6,77.0,0.42337662337662335,6.8,18.4,0.3695652173913043,25.4,36.0,0.7055555555555556,7.4,30.6,38.0,17.6,12.2,6.6,3.6,23.8,97.4,-4.8
1610612754,Indiana Pacers,2010-11,East,5,1,4,0.2,240.0,32.8,80.2,0.4089775561097257,5.8,15.4,0.37662337662337664,18.8,24.4,0.7704918032786885,13.0,25.4,38.4,16.0,15.2,8.2,5.6,23.0,90.2,-7.4
1610612747,Los Angeles Lakers,2010-11,West,10,4,6,0.4,240.0,34.7,77.8,0.44601542416452444,4.8,16.6,0.2891566265060241,19.0,24.5,0.7755102040816326,12.6,28.3,40.9,18.9,12.5,6.9,5.1,20.6,93.2,-1.3
1610612763,Memphis Grizzlies,2010-11,West,13,7,6,0.5384615384615384,249.6153846153846,36.69230769230769,84.0,0.4368131868131868,3.8461538461538463,12.076923076923077,0.3184713375796178,21.384615384615383,28.153846153846153,0.7595628415300546,12.461538461538462,30.615384615384617,43.07692307692308,18.846153846153847,13.076923076923077,8.0,6.0,23.615384615384617,98.61538461538461,-0.6923076923076923
